iter	Accuracy	Logloss
0	0.7689099799	0.6781565129
1	0.7768190969	0.6629648853
2	0.7742306586	0.6523487353
3	0.7745182629	0.6409885778
4	0.7700603969	0.6279987097
5	0.7717860224	0.6161413536
6	0.7768190969	0.608128317
7	0.7763876905	0.6005851651
8	0.7778257118	0.5937080811
9	0.7785447225	0.5864077709
10	0.7808455565	0.5800496174
11	0.7818521714	0.5742511897
12	0.7812769629	0.5678127795
13	0.7825711821	0.561482607
14	0.7815645672	0.5560349779
15	0.781420765	0.5512099882
16	0.7822835778	0.5477617564
17	0.7819959735	0.5430296974
18	0.7837215991	0.5394747023
19	0.7834339948	0.5359678754
20	0.7844406097	0.5332355647
21	0.7844406097	0.52856017
22	0.784728214	0.5249630103
23	0.7864538395	0.5197053152
24	0.7860224331	0.517266858
25	0.7855910267	0.5139736629
26	0.7857348289	0.5105729672
27	0.7864538395	0.5073468283
28	0.7863100374	0.5044844076
29	0.7861662353	0.5013138094
30	0.7860224331	0.4989818346
31	0.7861662353	0.4968654226
32	0.7864538395	0.4938551623
33	0.7864538395	0.491796889
34	0.7853034225	0.4902837368
35	0.7876042565	0.4873624401
36	0.7883232672	0.4850302546
37	0.7873166523	0.4838423774
38	0.7873166523	0.4812295391
39	0.7899050906	0.478587175
40	0.7890422778	0.4762376462
41	0.7896174863	0.4743584937
42	0.7919183204	0.4718227875
43	0.791486914	0.4702988571
44	0.7924935289	0.4688777929
45	0.7923497268	0.4678636649
46	0.7935001438	0.4664287331
47	0.7945067587	0.4651840162
48	0.7927811332	0.46412007
49	0.7942191544	0.4625219916
50	0.794794363	0.4613044131
51	0.7946505608	0.4597638415
52	0.7952257693	0.4584884753
53	0.7963761864	0.4572967714
54	0.7968075928	0.4550582188
55	0.7966637906	0.4537616474
56	0.7978142077	0.4524808395
57	0.7978142077	0.4506386907
58	0.7978142077	0.4500290062
59	0.7981018119	0.4492007045
60	0.7975266034	0.4483401387
61	0.7981018119	0.4478171708
62	0.7979580098	0.4470173416
63	0.7985332183	0.4463965279
64	0.7989646247	0.4456968617
65	0.7992522289	0.444519868
66	0.7998274374	0.4437432803
67	0.7996836353	0.442799614
68	0.8006902502	0.4418021974
69	0.8014092609	0.4410241703
70	0.801553063	0.4402280275
71	0.8014092609	0.4395387182
72	0.8014092609	0.4386005286
73	0.8016968651	0.4380579354
74	0.8019844694	0.4373054318
75	0.8014092609	0.4365830508
76	0.8016968651	0.4357017712
77	0.8018406672	0.4347592634
78	0.8028472821	0.433859798
79	0.80270348	0.4333130269
80	0.8022720736	0.4329697414
81	0.8022720736	0.432537984
82	0.8021282715	0.4319855254
83	0.8024158758	0.4311909274
84	0.8021282715	0.4309149087
85	0.80270348	0.4305415358
86	0.8031348864	0.4300713
87	0.8039976992	0.4295917958
88	0.803853897	0.4288778407
89	0.8044291056	0.4284162063
90	0.8054357204	0.4278607987
91	0.8051481162	0.4274533359
92	0.8058671268	0.4268785487
93	0.8057233247	0.4260920957
94	0.806010929	0.425534722
95	0.806010929	0.425227984
96	0.8058671268	0.4244490441
97	0.8058671268	0.424243136
98	0.8062985332	0.4236317312
99	0.8061547311	0.423405636
100	0.8062985332	0.4229119482
101	0.8064423353	0.4224479967
102	0.8064423353	0.4219632614
103	0.8064423353	0.4213067429
104	0.8067299396	0.4207892869
105	0.807161346	0.4203819646
106	0.8073051481	0.4201663316
107	0.8075927524	0.419865281
108	0.8078803566	0.4193990826
109	0.8085993673	0.4187152151
110	0.8087431694	0.4183659261
111	0.8087431694	0.4179714533
112	0.808311763	0.4175227738
113	0.8088869715	0.4169908534
114	0.8090307737	0.4165893941
115	0.8090307737	0.4158619224
116	0.8090307737	0.4153902472
117	0.8093183779	0.4149358803
118	0.8096059822	0.4141640322
119	0.8103249928	0.413969148
120	0.8098935864	0.4136828076
121	0.8100373886	0.4132221563
122	0.80946218	0.4128750792
123	0.80946218	0.4124366512
124	0.8097497843	0.4119530744
125	0.8096059822	0.4116454236
126	0.8096059822	0.4113363683
127	0.8097497843	0.4108829142
128	0.8096059822	0.4104703959
129	0.8096059822	0.4102336981
130	0.8097497843	0.409868716
131	0.8098935864	0.4095320659
132	0.8101811907	0.409128149
133	0.8104687949	0.4086894753
134	0.8110440035	0.4082428672
135	0.8111878056	0.4079579311
136	0.8113316077	0.4074592228
137	0.8117630141	0.4070500749
138	0.811619212	0.4069084494
139	0.8114754098	0.4065057262
140	0.8111878056	0.4062993618
141	0.811619212	0.4060454962
142	0.8120506183	0.4053847648
143	0.8130572332	0.4050590684
144	0.8129134311	0.4048579701
145	0.8130572332	0.4044855802
146	0.812769629	0.4042381394
147	0.812769629	0.4038681017
148	0.8130572332	0.4036641948
149	0.8130572332	0.4035188479
150	0.813920046	0.4030532464
151	0.8137762439	0.4026553681
152	0.8134886396	0.4019987794
153	0.8134886396	0.4015180814
154	0.813920046	0.4013277964
155	0.8137762439	0.4011323154
156	0.8142076503	0.4003619067
157	0.8143514524	0.4000066143
