iter	Passed	Remaining
0	16	4205
1	74	9193
2	130	10768
3	153	9424
4	172	8435
5	250	10201
6	272	9463
7	296	8971
8	319	8563
9	358	8594
10	383	8343
11	437	8671
12	456	8329
13	514	8669
14	535	8392
15	561	8205
16	586	8033
17	624	8045
18	695	8456
19	718	8267
20	743	8108
21	798	8278
22	817	8066
23	846	7970
24	871	7840
25	908	7828
26	932	7703
27	957	7589
28	976	7442
29	1019	7475
30	1036	7323
31	1092	7444
32	1154	7588
33	1206	7664
34	1231	7565
35	1284	7633
36	1305	7517
37	1344	7502
38	1369	7411
39	1409	7397
40	1427	7275
41	1458	7222
42	1523	7335
43	1582	7407
44	1620	7381
45	1644	7292
46	1662	7180
47	1692	7123
48	1709	7010
49	1771	7086
50	1789	6981
51	1850	7047
52	1869	6948
53	1958	7110
54	1978	7014
55	2020	7001
56	2036	6895
57	2096	6941
58	2116	6851
59	2154	6823
60	2172	6730
61	2216	6720
62	2233	6629
63	2268	6593
64	2292	6525
65	2344	6535
66	2361	6450
67	2391	6399
68	2406	6313
69	2452	6307
70	2476	6244
71	2500	6182
72	2555	6196
73	2607	6201
74	2634	6146
75	2698	6178
76	2718	6108
77	2782	6135
78	2806	6074
79	2875	6111
80	2896	6043
81	2985	6117
82	3023	6083
83	3047	6023
84	3066	5951
85	3076	5867
86	3115	5836
87	3134	5769
88	3170	5735
89	3187	5666
90	3248	5676
91	3266	5609
92	3315	5596
93	3332	5530
94	3375	5507
95	3404	5461
96	3443	5431
97	3483	5402
98	3538	5397
99	3561	5342
100	3611	5328
101	3639	5280
102	3662	5226
103	3717	5219
104	3782	5223
105	3810	5176
106	3829	5117
107	3847	5059
108	3891	5033
109	3931	5003
110	3954	4952
111	3972	4894
112	4038	4896
113	4062	4846
114	4149	4871
115	4172	4820
116	4228	4807
117	4268	4774
118	4292	4725
119	4313	4672
120	4348	4636
121	4365	4579
122	4400	4543
123	4420	4492
124	4457	4457
125	4475	4404
126	4520	4377
127	4579	4365
128	4615	4329
129	4661	4302
130	4697	4267
131	4720	4219
132	4740	4170
133	4767	4127
134	4791	4081
135	4809	4031
136	4849	4000
137	4868	3950
138	4896	3910
139	4913	3860
140	4992	3859
141	5011	3811
142	5059	3785
143	5082	3741
144	5155	3733
145	5194	3699
146	5217	3655
147	5240	3611
148	5279	3578
149	5297	3531
150	5356	3511
151	5383	3471
152	5432	3444
153	5451	3398
154	5479	3358
155	5498	3313
156	5561	3294
157	5578	3248
158	5622	3217
159	5638	3171
160	5682	3141
161	5697	3095
162	5729	3058
163	5747	3014
164	5776	2975
165	5793	2931
166	5823	2894
167	5841	2850
168	5887	2821
169	5916	2784
170	5930	2739
171	6008	2724
172	6032	2684
173	6098	2663
174	6116	2621
175	6156	2588
176	6173	2546
177	6213	2513
178	6235	2473
179	6261	2435
180	6278	2393
181	6342	2369
182	6363	2329
183	6392	2292
184	6414	2253
185	6435	2214
186	6452	2173
187	6546	2158
188	6562	2118
189	6614	2088
190	6631	2048
191	6661	2012
192	6679	1972
193	6724	1941
194	6740	1901
195	6804	1874
196	6826	1836
197	6850	1799
198	6867	1760
199	6920	1730
200	6947	1693
201	6976	1657
202	7031	1628
203	7052	1590
204	7075	1553
205	7162	1529
206	7180	1491
207	7241	1462
208	7256	1423
209	7288	1388
210	7304	1350
211	7330	1313
212	7345	1275
213	7386	1242
214	7434	1210
215	7477	1177
216	7497	1140
217	7534	1106
218	7553	1069
219	7595	1035
220	7635	1001
221	7708	972
222	7760	939
223	7785	903
224	7835	870
225	7859	834
226	7876	798
227	7924	764
228	7940	728
229	7986	694
230	8004	658
231	8079	626
232	8097	590
233	8158	557
234	8178	522
235	8217	487
236	8240	452
237	8301	418
238	8323	383
239	8381	349
240	8402	313
241	8427	278
242	8447	243
243	8520	209
244	8575	175
245	8600	139
246	8621	104
247	8688	70
248	8714	34
249	8737	0
