iter	Passed	Remaining
0	153	125734
1	311	127587
2	473	129029
3	628	128173
4	805	131315
5	977	132557
6	1141	132560
7	1296	131585
8	1450	130676
9	1618	131067
10	1800	132385
11	1957	131794
12	2113	131212
13	2279	131239
14	2533	135963
15	2827	142095
16	3093	146112
17	3277	146031
18	3488	147058
19	3645	145800
20	3800	144584
21	3957	143560
22	4114	142578
23	4291	142335
24	4443	141313
25	4603	140585
26	4781	140436
27	4931	139501
28	5110	139399
29	5272	138838
30	5458	138927
31	5633	138732
32	5783	137938
33	5950	137561
34	6123	137336
35	6306	137336
36	6478	137090
37	6649	136834
38	6800	136189
39	6970	135927
40	7143	135721
41	7371	136554
42	7538	136218
43	7778	137183
44	7947	136879
45	8136	136898
46	8350	137332
47	8563	137724
48	8766	137939
49	8947	137796
50	9134	137728
51	9309	137500
52	9502	137517
53	9682	137352
54	9896	137655
55	10100	137802
56	10279	137598
57	10480	137698
58	10660	137506
59	10854	137490
60	11026	137199
61	11207	137026
62	11396	136942
63	11603	137064
64	11785	136887
65	11972	136780
66	12157	136635
67	12333	136390
68	12503	136083
69	12671	135768
70	12861	135682
71	13026	135333
72	13197	135047
73	13360	134689
74	13522	134325
75	13677	133898
76	13841	133562
77	14032	133492
78	14207	133260
79	14379	133011
80	14543	132686
81	14717	132460
82	14917	132464
83	15122	132501
84	15301	132311
85	15473	132061
86	15652	131873
87	15833	131703
88	16030	131665
89	16213	131507
90	16404	131413
91	16607	131418
92	16791	131260
93	16971	131080
94	17155	130925
95	17346	130819
96	17577	131014
97	17791	131074
98	17961	130811
99	18119	130456
100	18294	130236
101	18468	130003
102	18658	129885
103	18828	129624
104	18991	129320
105	19162	129077
106	19318	128730
107	19457	128274
108	19602	127866
109	19775	127642
110	19944	127395
111	20115	127156
112	20279	126881
113	20442	126601
114	20600	126291
115	20749	125926
116	20916	125678
117	21068	125337
118	21218	124991
119	21374	124684
120	21528	124369
121	21674	124009
122	21830	123707
123	22004	123508
124	22183	123338
125	22386	123301
126	22553	123068
127	22704	122746
128	22879	122553
129	23045	122317
130	23202	122033
131	23363	121774
132	23528	121536
133	23694	121302
134	23858	121057
135	24008	120750
136	24143	120364
137	24305	120119
138	24460	119837
139	24596	119468
140	24728	119083
141	24857	118686
142	24998	118348
143	25143	118034
144	25293	117743
145	25429	117395
146	25581	117117
147	25734	116848
148	25882	116559
149	26028	116261
150	26159	115897
151	26295	115563
152	26453	115323
153	26596	115021
154	26746	114749
155	26891	114459
156	27032	114157
157	27188	113916
158	27351	113706
159	27507	113469
160	27665	113237
161	27818	112992
162	27972	112747
163	28130	112520
164	28280	112266
165	28449	112085
166	28604	111850
167	28745	111561
168	28888	111279
169	29031	111003
170	29220	110900
171	29393	110737
172	29579	110625
173	29776	110550
174	29970	110464
175	30241	110656
176	30470	110691
177	30650	110550
178	30758	110145
179	30920	109938
180	31041	109588
181	31222	109451
182	31426	109391
183	31602	109234
184	31757	109005
185	31924	108819
186	32108	108689
187	32273	108492
188	32425	108257
189	32579	108027
190	32753	107864
191	32921	107680
192	33076	107454
193	33263	107335
194	33440	107182
195	33612	107010
196	33761	106767
197	33909	106525
198	34055	106274
199	34204	106034
200	34349	105781
201	34501	105554
202	34643	105296
203	34819	105140
204	34997	104993
205	35149	104764
206	35292	104514
207	35460	104334
208	35631	104166
209	35811	104022
210	35996	103895
211	36176	103750
212	36350	103591
213	36518	103411
214	36708	103295
215	36883	103135
216	37050	102955
217	37208	102750
218	37364	102539
219	37501	102277
220	37666	102090
221	37823	101884
222	37984	101689
223	38159	101531
224	38332	101368
225	38480	101138
226	38615	100877
227	38783	100700
228	38950	100523
229	39091	100277
230	39227	100022
231	39360	99757
232	39610	99791
233	39849	99794
234	40037	99666
235	40233	99561
236	40430	99454
237	40605	99296
238	40759	99085
239	40905	98854
240	40986	98469
241	41146	98274
242	41301	98069
243	41477	97913
244	41636	97718
245	41787	97504
246	41927	97263
247	42075	97045
248	42252	96891
249	42399	96671
250	42592	96554
251	42754	96366
252	42895	96133
253	43032	95891
254	43190	95696
255	43356	95519
256	43495	95283
257	43640	95062
258	43818	94912
259	43961	94685
260	44110	94474
261	44279	94305
262	44433	94104
263	44584	93896
264	44740	93700
265	44894	93501
266	45042	93289
267	45192	93083
268	45332	92855
269	45430	92543
270	45579	92337
271	45661	91993
272	45811	91790
273	45956	91577
274	46101	91365
275	46239	91137
276	46375	90909
277	46508	90674
278	46643	90444
279	46796	90249
280	46937	90032
281	47081	89822
282	47221	89604
283	47375	89412
284	47526	89215
285	47672	89011
286	47805	88781
287	47917	88513
288	48046	88279
289	48188	88068
290	48326	87851
291	48474	87653
292	48625	87459
293	48768	87251
294	48924	87069
295	49071	86870
296	49197	86633
297	49318	86389
298	49461	86185
299	49606	85985
300	49700	85696
301	49830	85471
302	49977	85274
303	50142	85110
304	50288	84913
305	50371	84611
306	50507	84398
307	50653	84203
308	50812	84029
309	50919	83771
310	51080	83601
311	51255	83455
312	51426	83301
313	51734	83367
314	51921	83239
315	52103	83101
316	52252	82911
317	52403	82724
318	52480	82422
319	52636	82245
320	52782	82050
321	52960	81908
322	53112	81723
323	53247	81515
324	53382	81305
325	53532	81119
326	53636	80864
327	53780	80670
328	53871	80398
329	53983	80156
330	54127	79964
331	54261	79757
332	54405	79566
333	54559	79389
334	54710	79207
335	54868	79036
336	55015	78850
337	55267	78813
338	55484	78725
339	55562	78441
340	55779	78353
341	55893	78120
342	55991	77866
343	56154	77701
344	56286	77495
345	56450	77333
346	56525	77051
347	56667	76859
348	56806	76664
349	56982	76518
350	57091	76284
351	57226	76085
352	57384	75916
353	57555	75765
354	57673	75544
355	57791	75323
356	57953	75160
357	58114	74996
358	58271	74827
359	58421	74649
360	58496	74376
361	58571	74104
362	58750	73964
363	58919	73810
364	59060	73622
365	59198	73431
366	59350	73258
367	59511	73095
368	59665	72924
369	59733	72649
370	59873	72461
371	59972	72225
372	60119	72046
373	60266	71868
374	60413	71691
375	60561	71513
376	60701	71328
377	60794	71087
378	60906	70869
379	61057	70698
380	61192	70507
381	61330	70320
382	61424	70084
383	61526	69858
384	61598	69598
385	61752	69431
386	61828	69177
387	61985	69014
388	62132	68840
389	62279	68666
390	62399	68464
391	62474	68212
392	62577	67991
393	62733	67828
394	62854	67628
395	63013	67469
396	63076	67207
397	63239	67053
398	63410	66907
399	63507	66682
400	63661	66519
401	63822	66362
402	63990	66212
403	64101	66005
404	64245	65831
405	64428	65698
406	64564	65516
407	64684	65318
408	64833	65150
409	64972	64972
410	65109	64792
411	65254	64621
412	65394	64444
413	65531	64265
