Word;phon;lemme;cgram;freqlemfilms2;freqfilms2;islem;nblettres;puorth;puphon;nbsyll;cgramortho
faire;fER;faire;VER;8813,48;2735,96;1;5;5;3;1;VER
était;etE;être;VER;32236,5;2356,65;0;5;0;3;2;AUX,VER
comme;kOm;comme;CON;2326,08;2326,08;1;5;5;3;1;ADV,CON
cette;sEt;cette;ADJ:dem;1902,27;1902,27;1;5;4;3;1;ADJ:dem
votre;vOtR;votre;ADJ:pos;1894,09;1894,09;1;5;4;4;1;ADJ:pos,PRO:pos
quand;k@;quand;CON;1827,92;1827,92;1;5;5;2;1;ADV,CON
alors;alOR;alors;ADV;1777,65;1777,65;1;5;4;4;2;ADV
allez;ale;aller;VER;9992,77;1414,85;0;5;0;3;2;NOM,VER
aussi;osi;aussi;ADV;1402,33;1402,33;1;5;5;3;2;ADV
jamais;ZamE;jamais;ADV;1360,22;1360,22;1;6;6;4;2;ADV
pourquoi;puRkwa;pourquoi;ADV;1348,04;1348,04;1;8;5;4;2;ADV,CON,NOM
chose;Soz;chose;NOM;1773,62;1321,79;1;5;5;3;1;NOM
encore;@kOR;encore;ADV;1176,94;1176,94;1;6;6;4;2;ADV
toujours;tuZuR;toujours;ADV;1072,36;1072,36;1;8;4;3;2;ADV
temps;t@;temps;NOM;1031,05;1031,05;1;5;5;2;1;NOM
notre;nOtR;notre;ADJ:pos;1022,94;1022,94;1;5;5;4;1;ADJ:pos,PRO:pos
vraiment;vREm@;vraiment;ADV;968,57;968,57;1;8;5;4;2;ADV
viens;vj5;venir;VER;2763,82;944,81;0;5;0;0;1;VER
merci;mERsi;merci;ONO;936,01;936,01;1;5;5;5;2;NOM,ONO
comment;kom@;comment;ADV;922,93;922,93;1;7;7;4;2;ADV,CON,NOM,ONO
crois;kRwa;croire;VER;1711,99;904,45;0;5;0;4;1;VER
quelque;kElk;quelque;ADJ:ind;884,61;884,61;1;7;7;4;1;ADJ:ind,ADV
monde;m§d;monde;NOM;830,72;823,62;1;5;5;3;1;NOM
aller;ale;aller;VER;9992,77;816,76;1;5;5;3;2;NOM,VER
femme;fam;femme;NOM;1049,32;806,57;1;5;5;3;1;NOM
homme;Om;homme;NOM;1123,55;781,11;1;5;5;2;1;NOM
accord;akOR;accord;NOM;766,2;761,77;1;6;6;4;2;NOM
besoin;b°zw5;besoin;NOM;771,24;758,04;1;6;5;4;2;NOM
parler;paRle;parler;VER;1970,55;728,02;1;6;6;5;2;ADJ,NOM,VER
voilà;vwala;voilà;PRE;726,44;726,44;1;5;5;5;2;PRE
avoir;avwaR;avoir;AUX;18559,22;674,24;1;5;5;5;2;AUX,NOM,VER
autre;otR;autre;ADJ;786,09;668,48;1;5;5;3;1;ADJ,ADV,NOM,PRO:ind
pourquoi;puRkwa;pourquoi;CON;655,75;655,75;1;8;5;4;2;ADV,CON,NOM
juste;Zyst;juste;ADJ;656,86;653,49;1;5;5;4;1;ADJ,ADV,NOM
mieux;mj2;mieux;ADV;651,73;651,73;1;5;5;3;1;ADV,NOM
étais;etE;être;VER;32236,5;649,35;0;5;0;3;2;NOM,AUX,VER
fille;fij;fille;NOM;841,56;627,59;1;5;5;3;1;NOM
beaucoup;boku;beaucoup;ADV;626;626;1;8;6;4;2;ADV
regarde;R°gaRd;regarder;VER;1197,29;613,45;0;7;0;0;2;VER
avait;avE;avoir;VER;13572,4;596,64;0;5;0;0;2;AUX,VER
après;apRE;après;PRE;593,92;593,92;1;5;5;4;2;ADV,PRE
monsieur;m°sj2;monsieur;NOM;739,12;583,45;1;8;6;3;2;NOM
bonne;bOn;bon;ADJ;1554,44;578,93;0;5;5;3;1;ADJ,NOM
comme;kOm;comme;ADV;577,64;577,64;1;5;5;3;1;ADV,CON
personne;pERsOn;personne;PRO:ind;577,6;577,6;1;8;8;5;2;ADJ,NOM,PRO:ind
petit;p°ti;petit;ADJ;1106,8;573,72;1;5;5;4;2;ADJ,ADV,NOM
maison;mEz§;maison;NOM;605,75;570,3;1;6;6;4;2;NOM
bonjour;b§ZuR;bonjour;NOM;570,57;569,88;1;7;4;3;2;NOM
comment;kom@;comment;CON;558,33;558,33;1;7;7;4;2;ADV,CON,NOM,ONO
voulez;vule;vouloir;VER;5249,3;553,4;0;6;0;0;2;VER
faites;fEt;faire;VER;8813,48;541,8;0;6;0;3;1;VER,ADJ
maman;mam@;maman;NOM;540,21;537,44;1;5;5;4;2;NOM
ouais;wE;ouais;ADV;533,02;533,02;1;5;5;2;1;ADV
avant;av@;avant;PRE;529,51;529,51;1;5;5;3;2;ADJ,ADV,NOM,PRE
arrive;aRiv;arriver;VER;1252,42;525,1;0;6;0;0;2;VER
passe;pas;passer;VER;1495,49;523,58;0;5;5;3;1;NOM,VER
pense;p@s;penser;VER;1485,47;517,64;0;5;0;3;1;VER
argent;aRZ@;argent;NOM;515,1;515,04;1;6;6;4;2;ADJ,NOM
quelle;kEl;quelle;ADJ:int;512,55;512,55;1;6;6;3;1;ADJ:int
allons;al§;aller;VER;9992,77;500,21;0;6;0;3;2;VER
plaît;plE;plaire;VER;607,21;499,91;0;5;0;3;1;VER
appelle;apEl;appeler;VER;1165,48;485,77;0;7;0;4;2;VER
depuis;d°p8i;depuis;PRE;483,95;483,95;1;6;3;3;2;ADV,PRE
laisse;lEs;laisser;VER;1334,1;479,63;0;6;6;3;1;NOM,VER
moins;mw5;moins;ADV;478,75;478,75;1;5;5;3;1;ADV,NOM
attends;at@;attendre;VER;1351,46;478,32;0;7;0;0;2;VER
autre;otR;autre;PRO:ind;473,33;473,33;1;5;5;3;1;ADJ,ADV,NOM,PRO:ind
prendre;pR@dR;prendre;VER;1913,83;465,77;1;7;5;4;1;VER
arrête;aREt;arrêter;VER;993,79;456,59;0;6;0;4;2;VER
choses;Soz;chose;NOM;1773,62;451,83;0;6;6;3;1;NOM,VER
parle;paRl;parler;VER;1970,55;451,68;0;5;0;0;1;VER
amour;amuR;amour;NOM;458,27;450,46;1;5;5;4;2;NOM
enfants;@f@;enfant;NOM;735,59;448,33;0;7;0;3;2;NOM
toute;tut;tout;ADJ;2948,75;441,79;0;5;5;3;1;ADJ,ADJ:ind,PRO:ind
prends;pR@;prendre;VER;1913,83;431,5;0;6;0;0;1;VER
jours;ZuR;jour;NOM;1061,92;426,7;0;5;0;3;1;NOM
demain;d°m5;demain;ADV;425,85;425,85;1;6;5;4;2;ADJ,ADV,NOM
raison;REz§;raison;NOM;467,94;424,28;1;6;6;4;2;NOM
savoir;savwaR;savoir;VER;4516,71;421,1;1;6;6;6;2;NOM,VER
elles;El;elles;PRO:per;420,51;420,51;1;5;5;2;1;PRO:per
connais;konE;connaître;VER;961,03;415,87;0;7;7;4;2;VER
voulais;vulE;vouloir;VER;5249,3;415,76;0;7;0;0;2;VER
heure;9R;heure;NOM;709,79;415,4;1;5;5;2;1;NOM
avais;avE;avoir;AUX;18559,22;412,04;0;5;0;0;2;AUX,VER
savez;save;savoir;VER;4516,71;407,94;0;5;0;0;2;VER
assez;ase;assez;ADV;407,75;407,75;1;5;5;3;2;ADV
avoir;avwaR;avoir;VER;13572,4;404,19;1;5;5;5;2;AUX,NOM,VER
moment;mom@;moment;NOM;433,59;403,25;1;6;6;4;2;NOM
donne;dOn;donner;VER;1209,67;401,06;0;5;5;3;1;NOM,VER
avait;avE;avoir;AUX;18559,22;395,71;0;5;0;0;2;AUX,VER
problème;pRoblEm;problème;NOM;520,07;391,2;1;8;6;6;2;NOM
